userid,modulename,PreLearn,Learning,PostLearning
2534,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2534,Problems Using Conservation of Mechanical Energy,NF,N,NA
2534,Problems with Two Types of Potential Energy,NF,N,NF
2534,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2534,More mechanical energy problems,NF,N,NF
2535,Kinetic Energy,NF,N,NP
2535,Work by a constant force,NF,N,BP
2535,Potential Energy,NF,N,NP
2535,When is Mechanical Energy Conserved,NF,N,NF
2535,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2535,Problems Using Conservation of Mechanical Energy,NF,N,EF
2535,Problems with Two Types of Potential Energy,NF,N,EP
2535,Mechanical Energy and Non-Conservative Work,NF,N,EP
2535,More mechanical energy problems,NF,B,BP
2553,Kinetic Energy,NF,N,NP
2553,Work by a constant force,NF,N,BP
2553,Work and Kinetic Energy,NF,N,NP
2553,Potential Energy,NF,N,NF
2553,When is Mechanical Energy Conserved,NF,N,NP
2553,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2553,Problems Using Conservation of Mechanical Energy,BF,N,EF
2553,Problems with Two Types of Potential Energy,NF,B,EP
2553,Mechanical Energy and Non-Conservative Work,NF,B,NF
2553,More mechanical energy problems,NF,B,NP
2557,Kinetic Energy,NP,NA,NA
2557,Work by a constant force,NF,B,EF
2557,Work and Kinetic Energy,NF,N,EP
2557,Potential Energy,NF,B,EP
2557,When is Mechanical Energy Conserved,NP,NA,NA
2557,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2557,Problems Using Conservation of Mechanical Energy,NF,N,EF
2557,Problems with Two Types of Potential Energy,NP,NA,NA
2557,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2557,More mechanical energy problems,NF,B,BP
2570,Kinetic Energy,NP,NA,NA
2570,Work by a constant force,NP,NA,NA
2570,Work and Kinetic Energy,NP,NA,NA
2570,Potential Energy,NF,N,NF
2570,When is Mechanical Energy Conserved,NF,N,NP
2570,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2570,Problems Using Conservation of Mechanical Energy,NF,N,EF
2570,Problems with Two Types of Potential Energy,NF,N,EF
2570,Mechanical Energy and Non-Conservative Work,BF,N,BF
2570,More mechanical energy problems,BF,B,BF
2586,Kinetic Energy,NP,NA,NA
2586,Work by a constant force,BP,NA,NA
2586,Work and Kinetic Energy,NP,NA,NA
2586,Potential Energy,NF,N,NP
2586,When is Mechanical Energy Conserved,NF,N,NP
2586,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2586,Problems Using Conservation of Mechanical Energy,NF,N,EP
2586,Problems with Two Types of Potential Energy,BP,NA,NA
2586,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2586,More mechanical energy problems,NF,B,NP
2600,Kinetic Energy,NF,N,EP
2600,Work by a constant force,BF,N,NF
2600,Work and Kinetic Energy,BF,N,EP
2600,Potential Energy,BF,N,EF
2600,When is Mechanical Energy Conserved,BF,N,NP
2600,Simple Application of Conservation of Mechanical Energy,BF,N,NP
2600,Problems Using Conservation of Mechanical Energy,NF,N,EF
2600,Problems with Two Types of Potential Energy,NF,N,NA
2600,Mechanical Energy and Non-Conservative Work,BF,N,EP
2600,More mechanical energy problems,BF,N,EP
2602,Kinetic Energy,NP,NA,NA
2602,Work by a constant force,Other_F,NA,NA
2602,Work and Kinetic Energy,NP,NA,NA
2602,Potential Energy,Other_NA,NA,NA
2602,When is Mechanical Energy Conserved,NF,B,EP
2602,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2602,Problems with Two Types of Potential Energy,BP,NA,NA
2602,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2602,More mechanical energy problems,Other_P,NA,NA
2604,Kinetic Energy,NP,NA,NA
2604,Work by a constant force,NF,N,BP
2604,Work and Kinetic Energy,NF,N,NP
2604,Potential Energy,NF,N,NF
2604,When is Mechanical Energy Conserved,NF,N,NF
2604,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2604,Problems Using Conservation of Mechanical Energy,NF,N,EP
2604,Problems with Two Types of Potential Energy,BP,NA,NA
2604,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2604,More mechanical energy problems,Other_P,NA,NA
2613,Kinetic Energy,NP,NA,NA
2613,Work by a constant force,NF,N,NP
2613,Work and Kinetic Energy,NF,N,EP
2613,Potential Energy,NF,N,EP
2613,When is Mechanical Energy Conserved,NF,N,NP
2613,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2613,Problems Using Conservation of Mechanical Energy,NF,N,EP
2613,Problems with Two Types of Potential Energy,NF,N,EF
2613,Mechanical Energy and Non-Conservative Work,NF,N,EP
2613,More mechanical energy problems,Other_P,NA,NA
2616,Kinetic Energy,NP,NA,NA
2616,Work by a constant force,BP,NA,NA
2616,Work and Kinetic Energy,NP,NA,NA
2616,Potential Energy,NF,N,BF
2616,When is Mechanical Energy Conserved,NF,N,NF
2616,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2616,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2616,Problems with Two Types of Potential Energy,NF,B,EP
2616,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2616,More mechanical energy problems,NP,NA,NA
2636,Kinetic Energy,NF,N,EP
2636,Work by a constant force,NF,N,NF
2636,Work and Kinetic Energy,NF,N,NF
2636,Potential Energy,NF,N,BP
2636,When is Mechanical Energy Conserved,NF,N,NF
2636,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2636,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
2636,Problems with Two Types of Potential Energy,BF,B,BP
2636,Mechanical Energy and Non-Conservative Work,BF,N,BF
2636,More mechanical energy problems,NF,N,BF
2637,Kinetic Energy,NF,B,EF
2637,Work by a constant force,NF,N,BP
2637,Potential Energy,NF,N,BF
2637,When is Mechanical Energy Conserved,NF,N,NF
2637,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
2637,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2637,Problems with Two Types of Potential Energy,Other_F,NA,NA
2637,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2637,More mechanical energy problems,NP,NA,NA
2643,Kinetic Energy,NF,N,EF
2643,Work by a constant force,NF,N,BP
2643,Work and Kinetic Energy,BF,N,NP
2643,Potential Energy,BF,N,NP
2643,When is Mechanical Energy Conserved,BF,N,NP
2643,Simple Application of Conservation of Mechanical Energy,BF,N,BP
2643,Problems Using Conservation of Mechanical Energy,BF,N,EF
2643,Problems with Two Types of Potential Energy,BP,NA,NA
2643,Mechanical Energy and Non-Conservative Work,BF,B,NF
2643,More mechanical energy problems,BF,B,NF
2646,Work by a constant force,NF,B,BP
2646,Work and Kinetic Energy,BP,NA,NA
2646,Potential Energy,NF,B,NP
2646,When is Mechanical Energy Conserved,NP,NA,NA
2646,Simple Application of Conservation of Mechanical Energy,NF,B,BF
2646,Problems Using Conservation of Mechanical Energy,NF,B,BF
2646,Problems with Two Types of Potential Energy,BF,B,BP
2646,Mechanical Energy and Non-Conservative Work,BF,B,BP
2646,More mechanical energy problems,BF,B,BF
2660,Kinetic Energy,NF,N,EP
2660,Work by a constant force,NF,N,NP
2660,Work and Kinetic Energy,NF,N,EP
2660,Potential Energy,NF,N,NF
2660,When is Mechanical Energy Conserved,NF,N,NF
2660,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2660,Problems with Two Types of Potential Energy,Other_P,NA,NA
2660,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
2660,More mechanical energy problems,Other_NA,NA,NA
2664,Kinetic Energy,NF,N,EP
2664,Work by a constant force,NF,N,BP
2664,Work and Kinetic Energy,NF,N,EF
2664,Potential Energy,NF,N,NP
2664,When is Mechanical Energy Conserved,NF,N,NP
2664,Simple Application of Conservation of Mechanical Energy,NF,N,EP
2664,Problems Using Conservation of Mechanical Energy,NF,N,NA
2664,Problems with Two Types of Potential Energy,NP,NA,NA
2664,Mechanical Energy and Non-Conservative Work,NF,N,EF
2664,More mechanical energy problems,NF,N,EP
2674,Kinetic Energy,NF,N,NP
2674,Work by a constant force,BF,N,NP
2674,Potential Energy,NP,NA,NA
2674,When is Mechanical Energy Conserved,NF,N,NP
2674,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2674,Problems Using Conservation of Mechanical Energy,NF,N,EF
2674,Problems with Two Types of Potential Energy,BF,N,EF
2674,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2674,More mechanical energy problems,NF,N,NF
2687,Kinetic Energy,NF,N,EP
2687,Work by a constant force,NF,N,BP
2687,Work and Kinetic Energy,NP,NA,NA
2687,Potential Energy,NF,N,BP
2687,When is Mechanical Energy Conserved,NF,N,NP
2687,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2687,Problems Using Conservation of Mechanical Energy,NF,N,EP
2687,Problems with Two Types of Potential Energy,NF,N,EP
2687,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2687,More mechanical energy problems,NF,N,EP
2694,Kinetic Energy,NP,NA,NA
2694,Work by a constant force,NF,N,NP
2694,Work and Kinetic Energy,NP,NA,NA
2694,Potential Energy,NF,B,NF
2694,When is Mechanical Energy Conserved,Other_F,NA,NA
2694,Simple Application of Conservation of Mechanical Energy,Other_F,NA,NA
2694,Problems Using Conservation of Mechanical Energy,NF,N,EP
2694,Problems with Two Types of Potential Energy,NF,B,NP
2694,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
2694,More mechanical energy problems,NP,NA,NA
2703,Kinetic Energy,NF,B,EP
2703,Work by a constant force,NF,N,BP
2703,Work and Kinetic Energy,NP,NA,NA
2703,Potential Energy,NF,B,NP
2703,When is Mechanical Energy Conserved,NF,B,NP
2703,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2703,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2703,Problems with Two Types of Potential Energy,NF,B,EP
2703,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2703,More mechanical energy problems,NP,NA,NA
2707,Kinetic Energy,NF,N,EP
2707,Work by a constant force,NF,N,BP
2707,Work and Kinetic Energy,NP,NA,NA
2707,Potential Energy,NF,N,EF
2707,When is Mechanical Energy Conserved,NF,N,NP
2707,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2707,Problems Using Conservation of Mechanical Energy,NF,N,EF
2707,Problems with Two Types of Potential Energy,NF,N,EP
2707,Mechanical Energy and Non-Conservative Work,NF,N,BF
2707,More mechanical energy problems,NF,N,NF
2708,Kinetic Energy,NP,NA,NA
2708,Work by a constant force,NF,N,NP
2708,Work and Kinetic Energy,NF,N,EP
2708,Potential Energy,NF,N,NP
2708,When is Mechanical Energy Conserved,NF,N,NP
2708,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2708,Problems Using Conservation of Mechanical Energy,NF,N,EP
2708,Problems with Two Types of Potential Energy,NF,N,EP
2708,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2708,More mechanical energy problems,NF,N,EP
2718,Kinetic Energy,Other_F,NA,NA
2718,Work by a constant force,Other_NA,NA,NA
2718,Work and Kinetic Energy,NF,B,BP
2718,Potential Energy,Other_NA,NA,NA
2718,When is Mechanical Energy Conserved,NP,NA,NA
2718,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
2718,Problems Using Conservation of Mechanical Energy,NF,B,EF
2718,Problems with Two Types of Potential Energy,Other_P,NA,NA
2718,Mechanical Energy and Non-Conservative Work,Other_NA,NA,NA
2718,More mechanical energy problems,Other_P,NA,NA
2719,Kinetic Energy,Other_F,NA,NA
2719,Work by a constant force,NF,N,NP
2719,Potential Energy,NF,N,NF
2719,When is Mechanical Energy Conserved,Other_F,NA,NA
2719,Simple Application of Conservation of Mechanical Energy,NF,N,EP
2719,Problems Using Conservation of Mechanical Energy,NF,N,NA
2719,Problems with Two Types of Potential Energy,NP,NA,NA
2719,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2719,More mechanical energy problems,Other_NA,NA,NA
2724,Kinetic Energy,NF,N,NP
2724,Work by a constant force,NF,N,BP
2724,Work and Kinetic Energy,BF,N,BP
2724,Potential Energy,NF,N,NP
2724,When is Mechanical Energy Conserved,NF,N,BF
2724,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2724,Problems Using Conservation of Mechanical Energy,NF,N,NF
2724,Problems with Two Types of Potential Energy,NF,B,NP
2724,Mechanical Energy and Non-Conservative Work,NF,B,NP
2724,More mechanical energy problems,Other_F,NA,NA
2741,Kinetic Energy,NF,B,EP
2741,Work by a constant force,NF,N,BP
2741,Work and Kinetic Energy,NP,NA,NA
2741,Potential Energy,NF,N,NP
2741,When is Mechanical Energy Conserved,NF,N,NP
2741,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2741,Problems Using Conservation of Mechanical Energy,NF,N,EP
2741,Problems with Two Types of Potential Energy,NF,N,EF
2741,Mechanical Energy and Non-Conservative Work,NF,N,EP
2741,More mechanical energy problems,NF,N,EP
2748,Kinetic Energy,NF,N,NF
2748,Work by a constant force,NF,N,NP
2748,Work and Kinetic Energy,NP,NA,NA
2748,Potential Energy,NF,N,NP
2748,When is Mechanical Energy Conserved,NF,N,NF
2748,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2748,Problems Using Conservation of Mechanical Energy,NF,N,EF
2748,Problems with Two Types of Potential Energy,BP,NA,NA
2748,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2748,More mechanical energy problems,Other_P,NA,NA
2754,Kinetic Energy,NF,N,EP
2754,Work by a constant force,NF,N,BP
2754,Work and Kinetic Energy,NF,N,EP
2754,Potential Energy,NF,N,NF
2754,When is Mechanical Energy Conserved,BF,N,BF
2754,Simple Application of Conservation of Mechanical Energy,BF,N,BP
2754,Problems Using Conservation of Mechanical Energy,NF,N,NF
2754,Problems with Two Types of Potential Energy,BP,NA,NA
2754,Mechanical Energy and Non-Conservative Work,BF,N,BP
2754,More mechanical energy problems,BF,N,NF
2767,Kinetic Energy,NP,NA,NA
2767,Work by a constant force,BP,NA,NA
2767,Work and Kinetic Energy,NP,NA,NA
2767,Potential Energy,NP,NA,NA
2767,When is Mechanical Energy Conserved,NF,N,NP
2767,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2767,Problems Using Conservation of Mechanical Energy,NF,N,EF
2767,Problems with Two Types of Potential Energy,NP,NA,NA
2767,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2767,More mechanical energy problems,NF,B,EP
2769,Kinetic Energy,Other_P,NA,NA
2769,Work by a constant force,BP,NA,NA
2769,Work and Kinetic Energy,NP,NA,NA
2769,Potential Energy,NP,NA,NA
2769,When is Mechanical Energy Conserved,Other_P,NA,NA
2769,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2769,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
2769,Problems with Two Types of Potential Energy,NP,NA,NA
2769,Mechanical Energy and Non-Conservative Work,Other_F,NA,NA
2769,More mechanical energy problems,Other_P,NA,NA
2773,Work by a constant force,Other_F,NA,NA
2773,Work and Kinetic Energy,NF,N,EP
2773,Potential Energy,NF,N,NA
2773,When is Mechanical Energy Conserved,NF,N,EP
2773,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2773,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
2773,Problems with Two Types of Potential Energy,BF,B,NP
2773,Mechanical Energy and Non-Conservative Work,NF,N,NF
2773,More mechanical energy problems,BF,B,BF
2787,Kinetic Energy,NF,N,NF
2787,Work by a constant force,Other_F,NA,NA
2787,Work and Kinetic Energy,NP,NA,NA
2787,Potential Energy,NF,N,NF
2787,When is Mechanical Energy Conserved,NF,N,NP
2787,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2787,Problems Using Conservation of Mechanical Energy,NF,N,EP
2787,Problems with Two Types of Potential Energy,NP,NA,NA
2787,Mechanical Energy and Non-Conservative Work,NF,N,BP
2787,More mechanical energy problems,NF,B,BF
2788,Kinetic Energy,NF,N,EP
2788,Work by a constant force,NF,N,NP
2788,Work and Kinetic Energy,NP,NA,NA
2788,Potential Energy,NF,N,NP
2788,When is Mechanical Energy Conserved,NF,N,NF
2788,Simple Application of Conservation of Mechanical Energy,NF,B,NP
2788,Problems Using Conservation of Mechanical Energy,NF,N,EF
2788,Problems with Two Types of Potential Energy,NP,NA,NA
2788,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2788,More mechanical energy problems,NF,B,EP
2789,Kinetic Energy,Other_F,NA,NA
2789,Work by a constant force,NF,N,BP
2789,Potential Energy,Other_F,NA,NA
2789,When is Mechanical Energy Conserved,Other_F,NA,NA
2789,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2789,Problems Using Conservation of Mechanical Energy,NF,N,EF
2789,Problems with Two Types of Potential Energy,NP,NA,NA
2789,Mechanical Energy and Non-Conservative Work,NF,N,BP
2789,More mechanical energy problems,Other_P,NA,NA
2800,Kinetic Energy,NF,N,EP
2800,Work by a constant force,NF,N,BP
2800,Work and Kinetic Energy,NF,N,NP
2800,Potential Energy,NP,NA,NA
2800,When is Mechanical Energy Conserved,NF,N,NP
2800,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2800,Problems Using Conservation of Mechanical Energy,NF,N,EP
2800,Problems with Two Types of Potential Energy,NP,NA,NA
2800,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2800,More mechanical energy problems,NF,N,EP
2803,Kinetic Energy,NF,N,EP
2803,Work by a constant force,NF,N,BP
2803,Work and Kinetic Energy,Other_NA,NA,NA
2803,Potential Energy,NP,NA,NA
2803,When is Mechanical Energy Conserved,NF,N,NF
2803,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2803,Problems Using Conservation of Mechanical Energy,NF,N,EF
2803,Problems with Two Types of Potential Energy,BF,N,EP
2803,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2803,More mechanical energy problems,NF,N,BF
2815,Kinetic Energy,NP,NA,NA
2815,Work by a constant force,NP,NA,NA
2815,Work and Kinetic Energy,NP,NA,NA
2815,Potential Energy,NP,NA,NA
2815,When is Mechanical Energy Conserved,Other_P,NA,NA
2815,Simple Application of Conservation of Mechanical Energy,NF,B,EP
2815,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2815,Problems with Two Types of Potential Energy,NP,NA,NA
2815,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2815,More mechanical energy problems,NP,NA,NA
2821,Kinetic Energy,NP,NA,NA
2821,Work by a constant force,NF,N,BP
2821,Work and Kinetic Energy,NF,N,EP
2821,Potential Energy,NF,N,NP
2821,When is Mechanical Energy Conserved,NF,N,NF
2821,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2821,Problems Using Conservation of Mechanical Energy,NF,N,EF
2821,Problems with Two Types of Potential Energy,BF,N,BF
2821,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2821,More mechanical energy problems,NF,N,EP
2857,Kinetic Energy,NP,NA,NA
2857,Work by a constant force,Other_NA,NA,NA
2857,Work and Kinetic Energy,Other_NA,NA,NA
2857,Potential Energy,NF,B,NF
2857,When is Mechanical Energy Conserved,Other_P,NA,NA
2857,Simple Application of Conservation of Mechanical Energy,NF,B,BP
2857,Problems Using Conservation of Mechanical Energy,BF,B,NF
2857,Problems with Two Types of Potential Energy,BF,B,BF
2857,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2857,More mechanical energy problems,BF,B,BF
2866,Kinetic Energy,NF,N,EF
2866,Work by a constant force,NF,N,BF
2866,Work and Kinetic Energy,BP,NA,NA
2866,Potential Energy,BF,N,NF
2866,When is Mechanical Energy Conserved,BF,N,NF
2866,Simple Application of Conservation of Mechanical Energy,NF,N,EP
2866,Problems Using Conservation of Mechanical Energy,NF,N,EF
2866,Problems with Two Types of Potential Energy,BF,N,EP
2866,Mechanical Energy and Non-Conservative Work,BF,N,EP
2883,Kinetic Energy,Other_F,NA,NA
2883,Work by a constant force,BP,NA,NA
2883,Work and Kinetic Energy,BP,NA,NA
2883,Potential Energy,Other_F,NA,NA
2883,When is Mechanical Energy Conserved,BP,NA,NA
2883,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2883,Problems Using Conservation of Mechanical Energy,NF,B,BF
2883,Problems with Two Types of Potential Energy,BP,NA,NA
2883,Mechanical Energy and Non-Conservative Work,Other_F,NA,NA
2883,More mechanical energy problems,Other_F,NA,NA
2886,Kinetic Energy,NF,N,NP
2886,Work by a constant force,NF,B,NF
2886,Work and Kinetic Energy,NF,N,NP
2886,Potential Energy,NP,NA,NA
2886,When is Mechanical Energy Conserved,NF,N,NP
2886,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
2886,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
2886,Problems with Two Types of Potential Energy,BP,NA,NA
2886,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2886,More mechanical energy problems,NP,NA,NA
2896,Kinetic Energy,NF,N,EP
2896,Work by a constant force,NF,N,BP
2896,Work and Kinetic Energy,BP,NA,NA
2896,Potential Energy,NF,N,BF
2896,When is Mechanical Energy Conserved,NF,N,NF
2896,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2896,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
2896,Problems with Two Types of Potential Energy,NP,NA,NA
2896,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2896,More mechanical energy problems,Other_P,NA,NA
2901,Kinetic Energy,NP,NA,NA
2901,Work by a constant force,NF,N,BP
2901,Work and Kinetic Energy,NP,NA,NA
2901,Potential Energy,NP,NA,NA
2901,When is Mechanical Energy Conserved,NP,NA,NA
2901,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
2901,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2901,Problems with Two Types of Potential Energy,NF,B,EP
2901,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2901,More mechanical energy problems,NF,N,EP
2912,Kinetic Energy,NF,N,EF
2912,Work by a constant force,NF,N,NP
2912,Work and Kinetic Energy,BP,NA,NA
2912,Potential Energy,Other_NA,NA,NA
2912,When is Mechanical Energy Conserved,NF,N,EF
2912,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2912,Problems Using Conservation of Mechanical Energy,NF,N,NA
2912,Problems with Two Types of Potential Energy,BP,NA,NA
2912,Mechanical Energy and Non-Conservative Work,BF,N,NF
2912,More mechanical energy problems,Other_P,NA,NA
2918,Kinetic Energy,NP,NA,NA
2918,Work by a constant force,NP,NA,NA
2918,Work and Kinetic Energy,NP,NA,NA
2918,Potential Energy,NP,NA,NA
2918,When is Mechanical Energy Conserved,Other_P,NA,NA
2918,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
2918,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2918,Problems with Two Types of Potential Energy,NP,NA,NA
2918,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
2918,More mechanical energy problems,Other_P,NA,NA
2941,Kinetic Energy,NF,N,EP
2941,Work by a constant force,NF,N,EP
2941,Work and Kinetic Energy,NP,NA,NA
2941,Potential Energy,NF,N,NF
2941,When is Mechanical Energy Conserved,NF,N,EF
2941,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2941,Problems Using Conservation of Mechanical Energy,NF,N,EF
2941,Problems with Two Types of Potential Energy,NF,N,EF
2941,Mechanical Energy and Non-Conservative Work,NF,N,EP
2941,More mechanical energy problems,NF,N,BF
2948,Kinetic Energy,NF,N,NP
2948,Work by a constant force,NF,N,BP
2948,Work and Kinetic Energy,NP,NA,NA
2948,Potential Energy,Other_NA,NA,NA
2948,When is Mechanical Energy Conserved,NF,N,NF
2948,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2948,Problems Using Conservation of Mechanical Energy,NF,N,NF
2948,Problems with Two Types of Potential Energy,NP,NA,NA
2948,Mechanical Energy and Non-Conservative Work,BF,N,NF
2948,More mechanical energy problems,Other_P,NA,NA
2952,Kinetic Energy,NP,NA,NA
2952,Work by a constant force,Other_P,NA,NA
2952,Work and Kinetic Energy,NP,NA,NA
2952,Potential Energy,NP,NA,NA
2952,When is Mechanical Energy Conserved,Other_P,NA,NA
2952,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
2952,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2952,Problems with Two Types of Potential Energy,Other_P,NA,NA
2952,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2952,More mechanical energy problems,Other_F,NA,NA
2956,Kinetic Energy,NF,B,EF
2956,Work by a constant force,NF,N,BP
2956,Work and Kinetic Energy,NP,NA,NA
2956,Potential Energy,BF,N,NF
2956,When is Mechanical Energy Conserved,NF,N,NF
2956,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2956,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
2956,Problems with Two Types of Potential Energy,BP,NA,NA
2956,Mechanical Energy and Non-Conservative Work,Other_NA,NA,NA
2956,More mechanical energy problems,Other_P,NA,NA
2960,Kinetic Energy,NF,N,NA
2960,Work by a constant force,NP,NA,NA
2960,Work and Kinetic Energy,NP,NA,NA
2960,Potential Energy,Other_F,NA,NA
2960,When is Mechanical Energy Conserved,NF,N,NF
2960,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2960,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
2960,Problems with Two Types of Potential Energy,Other_NA,NA,NA
2960,Mechanical Energy and Non-Conservative Work,Other_F,NA,NA
2960,More mechanical energy problems,BP,NA,NA
2969,Kinetic Energy,NF,N,NP
2969,Work by a constant force,NF,N,BP
2969,Work and Kinetic Energy,BP,NA,NA
2969,Potential Energy,NF,N,NP
2969,When is Mechanical Energy Conserved,NF,N,NP
2969,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2969,Problems Using Conservation of Mechanical Energy,NF,N,NA
2969,Problems with Two Types of Potential Energy,BF,N,EF
2969,Mechanical Energy and Non-Conservative Work,NF,N,NP
2969,More mechanical energy problems,NF,N,NF
2989,Kinetic Energy,NP,NA,NA
2989,Work by a constant force,Other_P,NA,NA
2989,Work and Kinetic Energy,NF,B,NP
2989,Potential Energy,NF,N,NP
2989,When is Mechanical Energy Conserved,Other_F,NA,NA
2989,Simple Application of Conservation of Mechanical Energy,NF,B,NP
2989,Problems Using Conservation of Mechanical Energy,NF,B,EF
2989,Problems with Two Types of Potential Energy,NF,B,EF
2989,Mechanical Energy and Non-Conservative Work,NF,N,EP
2989,More mechanical energy problems,Other_NA,NA,NA
2994,Kinetic Energy,NP,NA,NA
2994,Work by a constant force,NF,N,BP
2994,Work and Kinetic Energy,NF,N,NP
2994,Potential Energy,NF,N,NP
2994,When is Mechanical Energy Conserved,NF,N,NP
2994,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2994,Problems Using Conservation of Mechanical Energy,NF,N,EF
2994,Problems with Two Types of Potential Energy,NF,N,EP
2994,Mechanical Energy and Non-Conservative Work,NF,N,EP
2994,More mechanical energy problems,NF,N,BP
3000,Kinetic Energy,NF,N,EP
3000,Work by a constant force,NF,N,BP
3000,Work and Kinetic Energy,NP,NA,NA
3000,Potential Energy,NF,N,NP
3000,When is Mechanical Energy Conserved,NF,N,NP
3000,Simple Application of Conservation of Mechanical Energy,NF,N,EP
3000,Problems Using Conservation of Mechanical Energy,NF,N,EP
3000,Problems with Two Types of Potential Energy,NF,N,EP
3000,Mechanical Energy and Non-Conservative Work,NP,NA,NA
3000,More mechanical energy problems,NF,N,EP
3007,Kinetic Energy,Other_NA,NA,NA
3007,Work by a constant force,NP,NA,NA
3007,Work and Kinetic Energy,NP,NA,NA
3007,Potential Energy,NP,NA,NA
3007,When is Mechanical Energy Conserved,Other_NA,NA,NA
3007,Simple Application of Conservation of Mechanical Energy,NF,N,NF
3007,Problems Using Conservation of Mechanical Energy,Other_NA,NA,NA
